COMPLETEPAPER-67_Q	Evidencing the crude oil corrosion by Raman spectroscopy
COMPLETEPAPER-380919_Q	Project management aided by verbal decision analysis approaches: a case study for the selection of the best SCRUM practices
COMPLETEPAPER-381280_Q	Effects of prolonged neuronal nitric oxide synthase inhibition on the development and expression of l-DOPA-induced dyskinesia in 6-OHDA-lesioned rats
COMPLETEPAPER-381281_Q	Nitric oxide synthase inhibition decreases l-DOPA-induced dyskinesia and the expression of striatal molecular markers in Pitx3&#8722;/&#8722; aphakia mice
COMPLETEPAPER-381282_Q	Glial activation is associated with l-DOPA induced dyskinesia and blocked by a nitric oxide synthase inhibitor in a rat model of Parkinson's disease
COMPLETEPAPER-386271_Q	PPAR-&#947; activation by Tityus serrulatus venom regulates lipid body formation and lipid mediator production
COMPLETEPAPER-388963_Q	The High Park fire: Coupled weather-wildland fire model simulation of a windstorm-driven wildfire in Colorado's Front Range
COMPLETEPAPER-390374_Q	Evaluation of the toxicity of essential oil from Alpinia purpurata inflorescences to Sitophilus zeamais (maize weevil)
COMPLETEPAPER-391258_Q	African Adders: Partial Characterization of Snake Venoms from Three Bitis Species of Medical Importance and Their Neutralization by Experimental Equine Antivenoms
COMPLETEPAPER-392391_Q	Electronic Circular Dichroism of Chiral Alkenes: B3LYP and CAM-B3LYP Calculations
COMPLETEPAPER-392848_Q	Simultaneous infection by four feline lungworm species and implications for the diagnosis
COMPLETEPAPER-392849_Q	Potential role of ATP-binding cassette transporters against acaricides in the brown dog tick              <i>Rhipicephalus sanguineus sensu lato</i>
COMPLETEPAPER-393840_Q	Environmental stimulation improves performance in the ox-maze task and recovers Na+
COMPLETEPAPER-394426_Q	Study of an Annular Photoreactor with Tangential Inlet and Outlet: I
COMPLETEPAPER-394504_Q	Parametric and Non-parametric probabilistic approaches for the mechanics of thin walled composite curved beams
COMPLETEPAPER-395269_Q	The anatomical distribution and antimicrobial susceptibility of yeast species isolated from healthy dogs
COMPLETEPAPER-395508_Q	Insights into electrodegradation mechanism of tebuconazole pesticide on Bi-doped PbO2 electrodes
COMPLETEPAPER-395509_Q	Corrosion of AISI 1020 steel in crude oil studied by the electrochemical noise measurements
COMPLETEPAPER-397075_Q	Semi-determinate growth habit adjusts the vegetative-to-reproductive balance and increases productivity and water-use efficiency in tomato (Solanum lycopersicum)
COMPLETEPAPER-403708_Q	Azilsartan Reduced TNF-&#945; and IL-1&#946; Levels
COMPLETEPAPER-405271_Q	Cyanotoxin production and phylogeny of benthic cyanobacterial strains isolated from the northeast of Brazil
COMPLETEPAPER-405272_Q	Cyanobacteria in mangrove ecosystems
COMPLETEPAPER-406806_Q	Claudin-3 and occludin tissue content in the glands of colonic mucosa with and without a fecal stream
COMPLETEPAPER-409664_Q	Etiological treatment of Chagas disease patients with Benznidazole lead to a sustained pro-inflammatory profile counterbalanced by modulatory events
COMPLETEPAPER-409665_Q	Vaccination using live attenuated Leishmania donovani centrin deleted parasites induces protection in dogs against Leishmania infantum
COMPLETEPAPER-410078_Q	Characterization and biocompatibility of a fibrous glassy scaffold
COMPLETEPAPER-410079_Q	Porous bioactive scaffolds: characterization and biological performance in a model of tibial bone defect in rats
COMPLETEPAPER-414180_Q	Green manufacturing: Relationship between adoption of green operational practices and green performance of brazilian ISO 9001-certified firms
COMPLETEPAPER-415351_Q	An iterated local search heuristic for the split delivery vehicle routing problem
COMPLETEPAPER-415352_Q	Hybrid Metaheuristics for the Clustered Vehicle Routing Problem
COMPLETEPAPER-415353_Q	A matheuristic approach for the Pollution-Routing Problem
COMPLETEPAPER-416235_Q	Evidence for Independent Glycerol Electrooxidation Behavior on Different Ordered Domains of Polycrystalline Platinum
COMPLETEPAPER-418082_Q	A new species of the oligotrophic genus Ochroconis (Sympoventuriaceae)
COMPLETEPAPER-419410_Q	On the minimization of traffic congestion in road networks with tolls
SPECIFIC_CHAPTER-421168_Q	Nociceptin/Orphanin FQ-NOP Receptor System in Inflammatory and Immune-Mediated Diseases
COMPLETEPAPER-423486_Q	Neuromuscular adaptations to water-based concurrent training in postmenopausal women: effects of different intra-session exercise sequences
COMPLETEPAPER-423487_Q	Effects of two deep water training programs on cardiorespiratory and muscular strength responses in older adults
COMPLETEPAPER-423927_Q	Phylogenetic analysis of a G6P[5] bovine rotavirus strain isolated in a neonatal diarrhea outbreak in a beef cattle herd vaccinated with G6P[1] and G10P[11] genotypes
COMPLETEPAPER-424062_Q	Nitric oxide-releasing indomethacin enhances susceptibility to Trypanosoma cruzi infection acting in the cell invasion and oxidative stress associated with anemia
COMPLETEPAPER-425821_Q	The Psychedelic State Induced by Ayahuasca Modulates the Activity and Connectivity of the Default Mode Network
COMPLETEPAPER-430318_Q	Capacitor placement of distribution systems using particle swarm optimization approaches
COMPLETEPAPER-430319_Q	Image thresholding segmentation based on a novel beta differential evolution approach
COMPLETEPAPER-430320_Q	Determination of photovoltaic modules parameters at different operating conditions using a novel bird mating optimizer approach
COMPLETEPAPER-430322_Q	A novel framework for optimization of a grid independent hybrid renewable energy system: A case study of Iran
COMPLETEPAPER-430323_Q	Wavenet using artificial bee colony applied to modeling of truck engine powertrain component
COMPLETEPAPER-435801_Q	Influence of clinical and socioeconomic indicators on dental trauma in preschool children
COMPLETEPAPER-436901_Q	Oxidative stress and inflammation in mucopolysaccharidosis type IVA patients treated with enzyme replacement therapy
COMPLETEPAPER-437420_Q	Fabrication of lithium silicate ceramic veneers with a CAD/CAM approach: A clinical report of cleidocranial dysplasia
COMPLETEPAPER-437724_Q	Allium cepa and Tradescantia pallida bioassays to evaluate effects of the insecticide imidacloprid
COMPLETEPAPER-439115_Q	Compressibility of a Fermionic Mott Insulator of Ultracold Atoms
COMPLETEPAPER-439224_Q	Standard area diagrams for assessment of powdery mildew severity on tomato leaves and leaflets
COMPLETEPAPER-447926_Q	The Response of Matrix Metalloproteinase-9 and -2 to Exercise
COMPLETEPAPER-450614_Q	Surveillance of Aedes aegypti: Comparison of House Index with Four Alternative Traps
COMPLETEPAPER-455468_Q	Optimized graphene transfer: Influence of polymethylmethacrylate (PMMA) layer concentration and baking time on graphene final performance
COMPLETEPAPER-456213_Q	Data-centric iteration in dynamic workflows
COMPLETEPAPER-456640_Q	Validity evidence of the brazilian version of the Mindful Attention Awareness Scale (MAAS)
COMPLETEPAPER-457669_Q	Theoretical study of dibenzotetraaza[14]annulene complexes with first row transition metals
SPECIFIC_CHAPTER-459684_Q	Stochastic Cash Flow Management Models: A Literature Review Since the 1980s
COMPLETEPAPER-462794_Q	The transcriptome recipe for the venom cocktail of Tityus bahiensis scorpion
COMPLETEPAPER-464492_Q	Genotoxic and biochemical changes in Baccharis trimera induced by coal contamination
COMPLETEPAPER-468055_Q	Placental angiogenic and hormonal factors are affected by thyroid hormones in rats
COMPLETEPAPER-468853_Q	A class of DCT approximations based on the feig-winograd algorithm
COMPLETEPAPER-468854_Q	A multiplierless pruned DCT-like transformation for image and video compression that requires ten additions only
COMPLETEPAPER-469748_Q	Robust nonlinear predictor for dead-time systems with input nonlinearities
COMPLETEPAPER-475178_Q	Walking training with cueing of cadence improves walking speed and stride length after stroke more than walking training alone: a systematic review
COMPLETEPAPER-476940_Q	Ultrathin films of lipids to investigate the action of a flavonoid with cell membrane models
COMPLETEPAPER-476942_Q	Langmuir and Langmuir-Blodgett films of lipids and penicillinase: Studies on adsorption and enzymatic activity
COMPLETEPAPER-477264_Q	Histopathological evaluation of the effects of variable extraoral dry times and enamel matrix proteins (enamel matrix derivatives) application on replanted dogsa teeth
COMPLETEPAPER-477265_Q	Absence of interleukin 22 affects the oral microbiota and the progression of induced periapical lesions in murine teeth
COMPLETEPAPER-480551_Q	Microbial enzymes for bioconversion of poultry waste into added-value products
COMPLETEPAPER-480552_Q	Expanded and fixed bed ion exchange chromatography for the recovery of C-phycocyanin in a single step by using lysed cells
COMPLETEPAPER-482354_Q	Cerebellar vermis H2 receptors mediate fear memory consolidation in mice
COMPLETEPAPER-482502_Q	A new source for production of ceramic filters
COMPLETEPAPER-482503_Q	Thermodynamic aspects during the processing of sintered materials
COMPLETEPAPER-492518_Q	Glycerol salicylate-based containing &#945;-tricalcium phosphate as a bioactive root canal sealer
COMPLETEPAPER-494727_Q	Metal bioavailability and toxicity in freshwaters
COMPLETEPAPER-494728_Q	Photo-decolorization and ecotoxicological effects of solar compound parabolic collector pilot plant and artificial light photocatalysis of indigo carmine dye
COMPLETEPAPER-496784_Q	Flash pyrolysis of myristic acid adsorbed on supported nickel catalysts for biofuel production
COMPLETEPAPER-499605_Q	Oral syphilis: Report of tree cases and characterization of the inflammatory cells
COMPLETEPAPER-500476_Q	A grouping genetic algorithm with controlled gene transmission for the bin packing problem
COMPLETEPAPER-500499_Q	Toward a systematized framework for resource efficiency indicators
COMPLETEPAPER-500500_Q	Global land use impacts on biomass production-a spatial-differentiated resource-related life cycle impact assessment method
COMPLETEPAPER-506105_Q	Manganese ore tailing: Optimization of acid leaching conditions and recovery of soluble manganese
COMPLETEPAPER-506150_Q	UV-C radiation modifies the ripening and accumulation of ethylene response factor (ERF) transcripts in tomato fruit
COMPLETEPAPER-506151_Q	Bioactive and yield potential of jelly palms (Butia odorata Barb
COMPLETEPAPER-507565_Q	Validation of the Portuguese Version of the Functional Assessment of Chronic Illness Therapy&#45;Spiritual Well-Being Scale (FACIT-Sp 12) Among Brazilian Psychiatric Inpatients
COMPLETEPAPER-509049_Q	Poly(vinyl alcohol) as a novel constituent to form aqueous two-phase systems with acetonitrile: Phase diagrams and partitioning experiments
COMPLETEPAPER-512651_Q	Viability of Cryptocotyle lingua metacercariae from Atlantic cod (Gadus morhua) after exposure to freezing and heating in the temperature range from &#8722;80  C to 100  C
COMPLETEPAPER-513368_Q	Use of poly(methyl methacrylate)/polyethyleneimine flow microreactors for enzyme immobilization
COMPLETEPAPER-513557_Q	Additional effects of aPDT on nonsurgical periodontal treatment with doxycycline in type II diabetes: a randomized
COMPLETEPAPER-516209_Q	Laser Speckle Imaging: A Novel Method for Detecting Dental Erosion
COMPLETEPAPER-516830_Q	Cardiovascular and behavioral effects produced by administration of liposome-entrapped GABA into the rat central nervous system
COMPLETEPAPER-516832_Q	Angiotensin-(1-7) in the basolateral amygdala attenuates the cardiovascular response evoked by acute emotional stress
COMPLETEPAPER-518641_Q	Effect of dystocia and treatment with oxytocin on neonatal calf vitality and acid-base
COMPLETEPAPER-520058_Q	Bacterial diversity from environmental sample applied to bio-hydrogen production
COMPLETEPAPER-525945_Q	Prognostic impact of perineural invasion and lymphovascular invasion in advanced stage oral squamous cell carcinoma
COMPLETEPAPER-527185_Q	A new Airport Collaborative Decision Making algorithm based on Deferred Acceptance in a two-sided market
COMPLETEPAPER-529540_Q	Effect of dietary cation-anion difference on performance of lactating dairy cows and stability of milk proteins
COMPLETEPAPER-530406_Q	Glycerol salicylate-based containing alfa-tricalcium phosphate as a bioactive root canal sealer
COMPLETEPAPER-532476_Q	Indirect band gap in graphene from modulation of the Fermi velocity
COMPLETEPAPER-532477_Q	Inertial-Hall effect: the influence of rotation on the Hall conductivity
COMPLETEPAPER-534065_Q	Electromagnetic harvester for lateral vibration in rotating machines
COMPLETEPAPER-534066_Q	Measurement of Shaft Orbits with Photographic Images and Sub-Sampling Technique
COMPLETEPAPER-535508_Q	Litter size reduction alters insulin signaling in the ventral tegmental area and influences dopamine-related behaviors in adult rats
COMPLETEPAPER-536421_Q	Multi-objective optimization for plant germplasm collection conservation of genetic resources based on molecular variability
